,avg_iou,median_iou,success_50,success_75,fps,frames,energy_j,energy_wh,time_s
uav_bike1,0.6989697009725493,0.6928180987964244,87.5810635538262,40.59662775616083,64.4297121116761,3084,1542.0,0.42833333333333334,47.86611485481262
uav_bike2,0.1149722897859735,0.0,13.405797101449277,9.601449275362318,66.41392790877644,552,276.0,0.07666666666666666,8.311509609222412
uav_bike3,0.15108280427284917,0.0,19.90740740740741,7.175925925925926,68.83416689919237,432,216.0,0.06,6.275953054428101
uav_bird1_1,0.19877034247234648,0.0,17.46031746031746,1.5873015873015872,70.58228784687898,252,126.0,0.035,3.570300817489624
uav_bird1_2,0.03712696722893982,0.0,4.700854700854701,0.8547008547008548,66.00921146851437,702,351.0,0.0975,10.634879350662231
uav_bird1_3,0.019205778750323543,0.0,1.2731481481481481,0.23148148148148145,70.90516181622141,864,432.0,0.12,12.185290575027466
uav_boat1,0.8730587574016204,0.8813894861123748,100.0,99.55555555555556,64.07606033814349,900,450.0,0.125,14.045807361602783
uav_boat2,0.9098982837128935,0.9069758595556892,100.0,100.0,60.67665223346081,798,399.0,0.11083333333333334,13.151681423187256
uav_boat3,0.6836009819106794,0.6608783905823334,90.55555555555556,32.33333333333333,60.64775513694047,900,450.0,0.125,14.83979082107544
uav_boat4,0.7401183868291826,0.7354137288289,100.0,42.391304347826086,64.15787155738565,552,276.0,0.07666666666666666,8.603776693344116
uav_boat5,0.8588293113161786,0.8665603183447562,100.0,91.66666666666666,66.50133524618634,504,252.0,0.07,7.5787951946258545
uav_boat6,0.7520312948583685,0.7640523138699978,98.00995024875621,57.58706467661692,69.87638461252669,804,402.0,0.11166666666666666,11.506033182144165
uav_boat7,0.8140366020912339,0.8237668415312276,100.0,82.39700374531836,68.05323698548025,534,267.0,0.07416666666666667,7.846797943115234
uav_boat8,0.6432747640715224,0.6971477072144319,86.40350877192982,32.748538011695906,70.75487338350283,684,342.0,0.095,9.667178630828857
uav_boat9,0.7507931351354002,0.7893643842644229,92.91845493562232,61.587982832618025,67.27551555780082,1398,699.0,0.19416666666666665,20.780219793319702
uav_building1,0.8692806731746254,0.8762535486097185,100.0,100.0,67.57990634412724,468,234.0,0.065,6.925135374069214
uav_building2,0.815800644582845,0.8111964707615282,100.0,96.35416666666666,62.40370926016556,576,288.0,0.08,9.230220556259155
uav_building3,0.5939214894220081,0.5793187288997712,80.07246376811594,11.11111111111111,64.47736996894437,828,414.0,0.115,12.841714859008789
uav_building4,0.6236057639678414,0.6112256753828538,93.00254452926208,9.16030534351145,59.423554329364336,786,393.0,0.10916666666666666,13.227078199386597
uav_building5,0.795876861917436,0.7984389521062467,100.0,78.75,72.48411437641778,480,240.0,0.06666666666666667,6.622140645980835
uav_car1_1,0.8974729420261817,0.903478854737908,100.0,100.0,66.18837746897577,750,375.0,0.10416666666666667,11.331294536590576
uav_car1_2,0.43986451575832236,0.48609408715053976,49.31506849315068,45.20547945205479,67.52800880894173,876,438.0,0.12166666666666667,12.972394943237305
uav_car1_3,0.48042628317730174,0.7519682466805122,55.58882235528942,50.399201596806385,57.854386693690664,1002,501.0,0.13916666666666666,17.31934356689453
uav_car10,0.851102370843572,0.8504197879314244,100.0,97.36467236467237,64.70220235586531,1404,702.0,0.195,21.699415922164917
uav_car11,0.2595725186046576,0.00935719058353523,33.33333333333333,2.976190476190476,65.91471226820353,336,168.0,0.04666666666666667,5.097496271133423
uav_car12,0.020649744425275913,0.0,2.4096385542168677,2.208835341365462,64.04037827653922,498,249.0,0.06916666666666667,7.776343822479248
uav_car13,0.7278126256678199,0.7450044755854965,97.58454106280193,47.10144927536232,66.56606820112756,414,207.0,0.0575,6.2193849086761475
uav_car14,0.6440066054817166,0.7303997802479352,83.48416289592761,43.89140271493213,67.50543921173696,1326,663.0,0.18416666666666667,19.64286160469055
uav_car15,0.04962392111559742,0.0,6.623931623931624,0.0,65.01376701849466,468,234.0,0.065,7.198475360870361
uav_car16_1,0.7527806671386291,0.8685178092372845,82.1256038647343,77.29468599033817,67.94644208934108,414,207.0,0.0575,6.093034267425537
uav_car16_2,0.8972135391692517,0.9009608644566084,100.0,99.93662864385297,68.75985629957228,1578,789.0,0.21916666666666668,22.949437141418457
uav_car17,0.8856446198290775,0.8909233882502441,99.90530303030303,99.33712121212122,67.73918325832629,1056,528.0,0.14666666666666667,15.589204788208008
uav_car18,0.8505618605564853,0.86949493885047,97.09784411276948,94.3615257048093,69.29060664481429,1206,603.0,0.1675,17.404956579208374
uav_car1_s,0.35795639880461577,0.0,47.76119402985074,24.491180461329716,56.386214229129806,1474,737.0,0.20472222222222222,26.141141414642334
uav_car2,0.34450734400823546,0.0,42.42424242424242,35.60606060606061,65.40517494014901,1320,660.0,0.18333333333333332,20.181889295578003
uav_car2_s,0.2769410982321399,0.0,32.60188087774294,27.27272727272727,62.286601711497454,319,159.5,0.044305555555555556,5.121486663818359
uav_car3,0.8082561174640632,0.8204265232473724,100.0,80.01165501165501,66.54113503587392,1716,858.0,0.23833333333333334,25.788559198379517
uav_car3_s,0.5793039054648536,0.7093155195215551,65.51193225558121,42.87913779830639,53.15325710519102,1299,649.5,0.18041666666666667,24.43876576423645
uav_car4,0.24792342054265107,0.0,29.24107142857143,28.199404761904763,60.40768489922157,1344,672.0,0.18666666666666668,22.24882483482361
uav_car4_s,0.5609648221887098,0.7151196603049705,75.99517490952955,42.340168878166466,55.66529989035447,829,414.5,0.11513888888888889,14.892581224441528
uav_car5,0.9411083532476661,0.9398389826670321,100.0,100.0,62.77130600839475,744,372.0,0.10333333333333333,11.852549314498901
uav_car6_1,0.8487133193758072,0.8627060862243761,100.0,88.68312757201646,60.90999696052374,486,243.0,0.0675,7.978985786437988
uav_car6_2,0.7653150537803657,0.7899357469331327,90.83333333333333,61.74242424242424,47.708179543983576,1320,660.0,0.18333333333333332,27.668211460113525
uav_car6_3,0.7998104435298357,0.7782564786669708,100.0,65.61954624781849,59.787660652507824,1146,573.0,0.15916666666666668,19.167834758758545
uav_car6_4,0.8637519418844719,0.8739939716439538,100.0,95.26748971193416,64.22104802619286,972,486.0,0.135,15.13522481918335
uav_car6_5,0.6017699073979589,0.6215655757735822,53.52564102564102,45.72649572649573,62.49158610006877,936,468.0,0.13,14.978016376495361
uav_car7,0.17283305207671265,0.0,21.899224806201552,16.666666666666664,65.3935101077902,1032,516.0,0.14333333333333334,15.78138256072998
uav_car8_1,0.8103574654456135,0.8739486610418155,91.66666666666666,78.61356932153393,62.81825627764374,1356,678.0,0.18833333333333332,21.586081504821777
uav_car8_2,0.869920465159616,0.8884283297770162,99.42528735632183,92.28243021346469,63.673830435762326,1218,609.0,0.16916666666666666,19.128737688064575
uav_car9,0.3187742621645335,0.0,42.06602768903088,18.849840255591054,59.07484511392661,1878,939.0,0.2608333333333333,31.790180683135986
uav_group1_1,0.46937371458541144,0.6178514687387663,58.408408408408405,37.38738738738739,65.42580730853808,1332,666.0,0.185,20.358938694000244
uav_group1_2,0.4371188443498213,0.4178782795444078,46.36209813874789,41.11675126903553,65.55869872881114,1182,591.0,0.16416666666666666,18.029644012451172
uav_group1_3,0.316092623167867,0.19832685960433438,34.11347517730496,9.787234042553191,59.99220016109117,1410,705.0,0.19583333333333333,23.503055334091187
uav_group1_4,0.19250188363672552,0.12457172944314371,15.400843881856542,0.21097046413502107,61.2008641447085,948,474.0,0.13166666666666665,15.489977359771729
uav_group2_1,0.08469412909399654,0.0,10.375275938189846,8.609271523178808,43.76938422540345,906,453.0,0.12583333333333332,20.699400186538696
uav_group2_2,0.7174026241916666,0.7415950942213106,94.56018518518519,46.99074074074074,64.08884341053904,864,432.0,0.12,13.481285572052002
uav_group2_3,0.5109535510712788,0.6161083278803132,59.42982456140351,29.82456140350877,64.4395039020785,912,456.0,0.12666666666666668,14.152809143066406
uav_group3_1,0.6054683380105207,0.6096444725836978,90.80459770114942,3.3844189016602813,64.21019127134473,1566,783.0,0.2175,24.388651847839355
uav_group3_2,0.1911253938787625,0.0,18.96825396825397,2.301587301587302,60.89711681617323,1260,630.0,0.175,20.690634727478027
uav_group3_3,0.6112455854464967,0.6514739792886142,83.0739299610895,17.250324254215304,64.09077472094607,1542,771.0,0.21416666666666667,24.059624910354614
uav_group3_4,0.24100145225407932,0.0,31.43350604490501,0.5181347150259068,56.4778897617392,1158,579.0,0.16083333333333333,20.503598928451538
uav_person1,0.8332864227027361,0.8443713029254878,100.0,88.09523809523809,67.68080103319619,798,399.0,0.11083333333333334,11.790640592575073
uav_person10,0.4870695093819198,0.7722700321164353,53.72549019607843,51.17647058823529,58.36619805930782,1020,510.0,0.14166666666666666,17.475868463516235
uav_person11,0.745481408589393,0.8329738846185162,84.30555555555556,66.11111111111111,66.04734086360926,720,360.0,0.1,10.90127158164978
uav_person12_1,0.7259390325536899,0.748231961512388,98.83333333333333,49.5,65.21750758431584,600,300.0,0.08333333333333333,9.199983596801758
uav_person12_2,0.5863786620289263,0.6375681793354915,76.17647058823529,21.764705882352942,66.31723079485312,1020,510.0,0.14166666666666666,15.38061809539795
uav_person13,0.6877900824277283,0.7075469029592713,94.21768707482994,33.560090702947846,64.29759470104032,882,441.0,0.1225,13.717464923858643
uav_person14_1,0.14022040587889964,0.0,15.602836879432624,14.657210401891252,54.0640135392951,846,423.0,0.1175,15.648116827011108
uav_person14_2,0.826209683641895,0.842746827710005,99.89648033126294,84.9896480331263,68.1599588668029,966,483.0,0.13416666666666666,14.17254376411438
uav_person14_3,0.8093008490603251,0.8176799637947234,99.81981981981983,82.61261261261261,65.54109087471068,1110,555.0,0.15416666666666667,16.935940265655518
uav_person15,0.8486299491136647,0.8606766125042771,100.0,90.35874439461884,65.87301456432982,1338,669.0,0.18583333333333332,20.31180763244629
uav_person16,0.1045816565490013,0.0,11.954624781849912,10.820244328097731,54.75080692322902,1146,573.0,0.15916666666666668,20.931198358535767
uav_person17_1,0.6645957174732233,0.7414600362420565,83.26666666666667,47.46666666666667,64.30756868835377,1500,750.0,0.20833333333333334,23.325403690338135
uav_person17_2,0.8259423205425382,0.8418685863130135,100.0,83.096926713948,63.979080006458524,846,423.0,0.1175,13.223072290420532
uav_person18,0.7188405306880464,0.7967588543532318,87.5,67.74425287356321,56.91501349921411,1392,696.0,0.19333333333333333,24.457518577575684
uav_person19_1,0.8188005400532167,0.9046191836544366,89.4524959742351,87.84219001610306,60.18753267704947,1242,621.0,0.1725,20.635502815246582
uav_person19_2,0.8704539531694231,0.921895527433531,94.31524547803618,93.92764857881137,65.90867352673092,1548,774.0,0.215,23.487045288085938
uav_person19_3,0.3361992952688705,0.10127481769343408,37.80332056194125,29.693486590038315,61.497644262214365,1566,783.0,0.2175,25.46439003944397
uav_person1_s,0.41688406642106124,0.4001104180784978,46.59161976235147,32.020012507817384,51.02656859407513,1599,799.5,0.22208333333333333,31.336616277694702
uav_person2_1,0.7511611559439726,0.7618753666272908,99.66329966329967,53.535353535353536,66.45401406287641,1188,594.0,0.165,17.877023935317993
uav_person2_2,0.6642755967579085,0.6687588946335261,94.21199442119944,18.340306834030685,64.37067517240651,1434,717.0,0.19916666666666666,22.27722477912903
uav_person20,0.8162499017409063,0.828450688968752,99.77553310886644,81.76206509539843,47.832680346906535,1782,891.0,0.2475,37.25486397743225
uav_person21,0.38180844738772707,0.4690959826243734,47.94238683127572,11.522633744855968,65.74295800324356,486,243.0,0.0675,7.3924267292022705
uav_person22,0.8478288493959337,0.8523785354959492,100.0,92.92929292929293,67.62401968352364,198,99.0,0.0275,2.9279537200927734
uav_person23,0.6946865857248605,0.6992178428458937,98.98989898989899,28.78787878787879,66.34328129758222,396,198.0,0.055,5.968954086303711
uav_person2_s,0.8344189300419355,0.8396589662485785,100.0,91.16465863453816,53.957244592259435,249,124.5,0.034583333333333334,4.614764928817749
uav_person3,0.8484587475704417,0.8495889192681193,100.0,96.57320872274143,67.41721057907719,642,321.0,0.08916666666666667,9.522790908813477
uav_person3_s,0.7272942606182589,0.788835473632824,87.5,66.26984126984127,57.703961015492695,504,252.0,0.07,8.734235763549805
uav_person4_1,0.7690108961112078,0.7722969238191251,99.4,59.4,63.10579517062712,1500,750.0,0.20833333333333334,23.76960778236389
uav_person4_2,0.8795014367814337,0.8839104309880251,100.0,99.19484702093398,62.9670736268385,1242,621.0,0.1725,19.724594593048096
uav_person5_1,0.8838411211623683,0.8936079118265835,100.0,96.68949771689498,65.4795311456307,876,438.0,0.12166666666666667,13.378226518630981
uav_person5_2,0.8720354415500466,0.8759278078727879,100.0,97.95751633986927,66.7886625636361,1224,612.0,0.17,18.32646369934082
uav_person6,0.876785454410219,0.8786011187446174,100.0,99.77777777777777,67.29307115574078,900,450.0,0.125,13.37433385848999
uav_person7_1,0.7343710828401447,0.7994943106477195,90.94551282051282,69.55128205128204,65.77842700544831,1248,624.0,0.17333333333333334,18.972785711288452
uav_person7_2,0.7778951372602222,0.8066586789646752,96.69117647058823,66.66666666666666,66.31021467307546,816,408.0,0.11333333333333333,12.305796384811401
uav_person8_1,0.7130767788568259,0.828412239426535,86.49906890130353,71.7877094972067,58.45096207722346,1074,537.0,0.14916666666666667,18.37437677383423
uav_person8_2,0.8731336445758532,0.8764169218994808,100.0,96.88888888888889,57.020364882133826,450,225.0,0.0625,7.8919172286987305
uav_person9,0.08549957126436826,0.0,9.848484848484848,2.4242424242424243,64.18482881843057,660,330.0,0.09166666666666666,10.282803773880005
uav_truck1,0.4080304673419828,0.5419998660011781,51.515151515151516,38.095238095238095,44.52577492205852,462,231.0,0.06416666666666666,10.376012563705444
uav_truck2,0.3319350484015654,0.0,40.625,28.645833333333332,64.5979497672892,384,192.0,0.05333333333333334,5.944461107254028
uav_truck3,0.1372742096302105,0.0,17.60299625468165,10.674157303370785,65.53220528340778,534,267.0,0.07416666666666667,8.148665189743042
uav_truck4_1,0.6863140729992873,0.6976891585718425,92.53472222222221,33.33333333333333,64.79765407472343,576,288.0,0.08,8.88921070098877
uav_truck4_2,0.777066711864346,0.7852378649922992,96.34502923976608,68.27485380116958,66.83697898667273,684,342.0,0.095,10.233855724334717
uav_uav1_1,0.30751730905092955,0.22740373322158275,27.606177606177607,14.285714285714285,80.03197787828881,1554,777.0,0.21583333333333332,19.417238473892212
uav_uav1_2,0.22684671860501615,0.0,27.25060827250608,22.74939172749392,61.35302584944369,822,411.0,0.11416666666666667,13.39787220954895
uav_uav1_3,0.2057426602359911,0.0,25.903614457831324,16.06425702811245,79.48424415477757,996,498.0,0.13833333333333334,12.530785322189331
uav_uav2,0.0761229951775823,0.0,0.0,0.0,79.04368425764002,132,66.0,0.018333333333333333,1.6699626445770264
uav_uav3,0.25888382475011873,0.0,31.818181818181817,15.909090909090908,81.24279638166415,264,132.0,0.03666666666666667,3.249518871307373
uav_uav4,0.06052709828319093,0.0,7.051282051282051,0.0,81.93237109870105,156,78.0,0.021666666666666667,1.9040093421936035
uav_uav5,0.041392275256416824,0.0,4.3478260869565215,0.7246376811594203,78.7283785432527,138,69.0,0.019166666666666665,1.7528622150421143
uav_uav6,0.37690611282517944,0.5253310642045432,51.85185185185185,4.62962962962963,82.13055460468678,108,54.0,0.015,1.3149795532226562
uav_uav7,0.23701729656128054,0.0,30.913978494623656,6.451612903225806,81.18891864759259,372,186.0,0.051666666666666666,4.581906080245972
uav_uav8,0.1829268335609555,0.0,23.666666666666668,6.666666666666667,79.54871294301951,300,150.0,0.041666666666666664,3.7712740898132324
uav_wakeboard1,0.8019625552528861,0.8077767821655587,100.0,75.23809523809524,66.4868911641209,420,210.0,0.058333333333333334,6.317034721374512
uav_wakeboard10,0.6833986796338902,0.6995345437965304,88.88888888888889,38.034188034188034,68.25684139531114,468,234.0,0.065,6.856455564498901
uav_wakeboard2,0.7441092958849547,0.7609496811087826,99.18032786885246,51.775956284153004,69.09554595617173,732,366.0,0.10166666666666667,10.59402585029602
uav_wakeboard3,0.6602575494131473,0.6876597176523627,81.99513381995133,36.009732360097324,70.63738384598184,822,411.0,0.11416666666666667,11.636897563934326
uav_wakeboard4,0.7789791597533192,0.7967600885533896,98.41954022988506,69.10919540229885,70.51597717437816,696,348.0,0.09666666666666666,9.870103597640991
uav_wakeboard5,0.616018704915952,0.7045548976608333,71.80406212664278,41.158900836320186,66.527662444194,1674,837.0,0.2325,25.1624653339386
uav_wakeboard6,0.8400898253258371,0.85789080417282,99.22680412371135,88.48797250859106,69.77612570150472,1164,582.0,0.16166666666666665,16.681923627853394
uav_wakeboard7,0.8221033156701852,0.8266615897396181,100.0,86.86868686868688,67.96801819656027,198,99.0,0.0275,2.913134813308716
uav_wakeboard8,0.7714314710498313,0.7805731957926898,98.24902723735408,63.099870298313874,68.08149226968219,1542,771.0,0.21416666666666667,22.649327278137207
uav_wakeboard9,0.7409507168252261,0.7434083947775192,99.15254237288136,46.89265536723164,69.86009833971278,354,177.0,0.049166666666666664,5.067270278930664
